"","Entity","1960","1970","1980","1990","2000","2010","abs_chg"
"1","Afghanistan",0.001419558,0.157575752,0,0,0.024211525,0.082727539,0.081307981
"2","Africa",0.150796798,0.08297887,0.208162796,0.097448103,0.116463899,0.053185456,-0.097611342
"3","Albania",0,0,0,0.107333156,0.040488531,0.494190336,0.494190336
"4","Algeria",0.071662916,0.034193911,1.228290406,0.012713841,0.816180104,0.038947468,-0.032715448
"5","American Samoa",0,0,0,0,3.901153287,NA,3.901153287
"6","Angola",NA,NA,0,0,0.01095334,0.000163768,0.000163768
"7","Anguilla",0,0,0,0,0,0,0
"8","Antigua and Barbuda",0,0,1.82317571,7.436792165,0,1.812712269,1.812712269
"9","Argentina",0.011715119,0.022004567,0.394881732,0.107325145,0.130862445,0.110890983,0.099175864
"10","Armenia",0,0,0,0.252742183,0.523131934,0.055412244,0.055412244
"11","Asia",0.090048503,0.143789201,0.100080527,0.498361463,0.2817198,0.286126782,0.196078279
"12","Australia",0.221020897,0.310255463,0.449114609,0.201841682,0.158105745,0.219852291,-0.00116860599999999
"13","Austria",0,0,0,0.033329009,0.185983587,0.023280915,0.023280915
"14","Azerbaijan",0,0,0,0.141024643,0.284201028,0,0
"15","Bahamas",0.542278009,0,0,1.390925991,2.07237763,3.167653432,2.625375423
"16","Bangladesh",0.540750001,0.638782494,1.350009359,1.882757846,0.837946245,0.076586216,-0.464163785
"17","Barbados",0,0,0.60154498,0,0.015159706,0,0
"18","Belarus",NA,NA,NA,0.026993669,0.025993998,0,-0.026993669
"19","Belgium",0,0,0.005734982,0.058577014,0.009762305,0.010172497,0.010172497
"20","Belize",20.0237811,0.82774084,0,0.116771617,6.402076907,0,-20.0237811
"21","Benin",0,0.005994705,0.050534331,0.014872823,0,0,0
"22","Bermuda",0,0,0.417675986,0,0.716584757,NA,0.716584757
"23","Bhutan",NA,NA,NA,0.087660243,0,0,-0.087660243
"24","Bolivia",0.045858218,0.080978397,2.728220323,1.151416492,0.756603821,0.253248722,0.207390504
"25","Bosnia and Herzegovina",NA,NA,NA,0,0.454231983,0.285897058,0.285897058
"26","Botswana",0.150947368,0.210842882,0,0,0.008638071,0.03051192,-0.120435448
"27","Brazil",0.037097572,0.20912213,0.184538828,0.012698409,0.04938834,0.039716655,0.00261908299999999
"28","British Virgin Islands",NA,NA,NA,0,0,0,0
"29","Brunei",NA,NA,NA,0.004936873,NA,NA,0
"30","Bulgaria",0,0,0,0,0.167487222,0.165749876,0.165749876
"31","Burkina Faso",0,0,0,0,0.158718447,0.026373874,0.026373874
"32","Burundi",NA,NA,0,0,0,0.049267692,0.049267692
"33","Cambodia",NA,NA,0,0.363966789,0.56561559,0.797899131,0.797899131
"34","Cameroon",NA,0.012126688,0,0,0,0.00068722,-0.011439468
"35","Canada",0,0.149242029,0.137447841,0.085780325,0.017481937,0.094505632,0.094505632
"36","Cape Verde",0,0,0.213324598,0,0,0.006888776,0.006888776
"37","Cayman Islands",NA,NA,NA,NA,0,NA,0
"38","Central African Republic",NA,0,0.00179907,0,0,0,0
"39","Chad",1.759833149,0,0.001058952,0,0.00584507,0.008085798,-1.751747351
"40","Chile",1.639511894,0.230533123,0.936896159,0.157371551,0.053989343,1.575909335,-0.063602559
"41","China",0.003850005,0.363778095,0.467862125,1.765759682,0.587479503,0.235299424,0.231449419
"42","Colombia",0.001889075,0.203468155,0.408887407,0.216221014,0.001099628,0.110613068,0.108723993
"43","Comoros",0,0,1.903293354,0,0,0.049220181,0.049220181
"44","Congo",0,0,0,0.000302645,0,0,0
"45","Costa Rica",0.111471413,0.305929169,0.16859162,0.65175733,0.117863972,0.040097915,-0.071373498
"46","Cote d'Ivoire",NA,NA,0,0,0,0,0
"47","Croatia",NA,NA,NA,0,0.220056773,0.042370117,0.042370117
"48","Cuba",0,0,0.067587009,1.39959478,1.525399425,0.340313043,0.340313043
"49","Cyprus",0,0,0,0.004369216,0.006874116,NA,0.006874116
"50","Czechia",NA,NA,NA,0.310648336,0.324586961,0.055897356,-0.25475098
"51","Czechoslovakia",NA,0,0,NA,NA,NA,0
"52","Democratic Republic of Congo",0.000441242,0,0,0,0.013849,0.004177221,0.003735979
"53","Denmark",NA,0,0.040402203,0.209274894,0.052286116,0,0
"54","Djibouti",NA,0,0.026880401,0.043096328,0,0,0
"55","Dominica",0,8.115561393,1.263501884,7.103250092,0.474637649,36.93751692,36.93751692
"56","Dominican Republic",0.755918635,0.27278679,0.11018608,0.914303622,0.201997092,0.018005077,-0.737913558
"57","Ecuador",0.017148702,0.042368962,1.202877993,0.374066325,0.204920053,0.201125309,0.183976607
"58","Egypt",0,0.007768899,0,0.313928323,0,0.003788138,0.003788138
"59","El Salvador",0.414007232,0,4.815460569,0.512943498,2.314038745,0.562325805,0.148318573
